wavelength,energy,0_deltaA,3_deltaA,5_deltaA,0_mdeg,3_mdeg,5_mdeg,0_deltaA_diff,3_deltaA_diff,5_deltaA_diff
352.0,3.522727272727273,-5.199999999999996e-05,-8.300000000000007e-05,-5.499999999999998e-05,-1.7150639999999981,-2.7375060000000033,-1.8140100000000015,0.0,-3.10000000000001e-05,-3.0000000000000187e-06
356.0,3.4831460674157304,-5.9499999999999874e-05,-6.174999999999996e-05,-5.9167665000000024e-05,-1.9624290000000002,-2.0366384999999987,-1.9514679270300004,0.0,-2.250000000000082e-06,3.3233499999985017e-07
360.0,3.4444444444444446,-5.6999999999999976e-05,-5.949999999999998e-05,-5.260180249999999e-05,-1.8799739999999971,-1.9624290000000002,-1.7349126500549998,0.0,-2.5000000000000066e-06,4.398197499999984e-06
364.0,3.4065934065934065,-6.0249999999999974e-05,-5.3249999999999966e-05,-4.5743127500000004e-05,-1.9871655000000032,-1.7562914999999997,-1.5086998312050004,0.0,7.0000000000000075e-06,1.450687249999997e-05
368.0,3.369565217391304,-5.849999999999996e-05,-4.149999999999998e-05,-2.725000000000004e-05,-1.9294469999999961,-1.3687530000000017,-0.8987595000000006,0.0,1.699999999999998e-05,3.124999999999992e-05
372.0,3.3333333333333335,-5.649999999999991e-05,-3.575e-05,-1.4750000000000006e-05,-1.8634830000000022,-1.1791065000000014,-0.48648449999999954,0.0,2.0749999999999908e-05,4.1749999999999904e-05
376.0,3.297872340425532,-6.424999999999996e-05,-2.675e-05,-1.1500000000000008e-05,-2.1190935000000017,-0.8822685000000003,-0.37929299999999877,0.0,3.749999999999996e-05,5.2749999999999954e-05
380.0,3.263157894736842,-5.5499999999999885e-05,-1.9499999999999986e-05,7.499999999999911e-07,-1.8305009999999982,-0.6431489999999993,0.024736500000000383,0.0,3.59999999999999e-05,5.6249999999999876e-05
384.0,3.2291666666666665,-5.024999999999995e-05,-1.8500000000000016e-05,9.878867500000006e-06,-1.6573454999999981,-0.6101670000000006,0.3258248078849997,0.0,3.174999999999993e-05,6.012886749999995e-05
388.0,3.195876288659794,-5.174999999999993e-05,-9.749999999999966e-06,1.0842657499999997e-05,-1.7068185000000007,-0.32157449999999876,0.357612529665,0.0,4.1999999999999964e-05,6.259265749999993e-05
392.0,3.163265306122449,-5.2749999999999954e-05,5.000000000000122e-07,1.8142422500000003e-05,-1.7398004999999976,0.016490999999999367,0.5983733788949996,0.0,5.3249999999999966e-05,7.089242249999996e-05
396.0,3.1313131313131315,-5.325000000000002e-05,-5.000000000000067e-06,2.275000000000001e-05,-1.756291499999998,-0.16491000000000078,0.7503405000000001,0.0,4.824999999999995e-05,7.600000000000003e-05
400.0,3.1,-4.5999999999999925e-05,2.9999999999999645e-06,2.3749999999999954e-05,-1.5171719999999986,0.09894600000000153,0.7833225000000006,0.0,4.899999999999989e-05,6.974999999999988e-05
404.0,3.0693069306930694,-4.4249999999999964e-05,-9.9999999999997e-07,3.575000000000003e-05,-1.4594534999999986,-0.032981999999998735,1.1791064999999996,0.0,4.3249999999999994e-05,7.999999999999999e-05
408.0,3.0392156862745097,-3.874999999999994e-05,6.74999999999992e-06,4.075000000000004e-05,-1.2780524999999976,0.22262850000000078,1.3440164999999986,0.0,4.549999999999986e-05,7.949999999999998e-05
412.0,3.0097087378640777,-4.224999999999997e-05,2.5000000000000608e-06,3.6499999999999966e-05,-1.3934894999999976,0.0824549999999995,1.2038430000000009,0.0,4.475000000000003e-05,7.874999999999994e-05
416.0,2.980769230769231,-3.899999999999997e-05,-7.499999999999911e-07,3.5499999999999996e-05,-1.2862979999999968,-0.024736499999999495,1.1708609999999986,0.0,3.824999999999998e-05,7.449999999999997e-05
420.0,2.9523809523809526,-3.200000000000002e-05,-5.750000000000004e-06,3.775000000000002e-05,-1.0554239999999986,-0.18964650000000027,1.2450704999999989,0.0,2.6250000000000015e-05,6.975000000000004e-05
424.0,2.9245283018867925,-3.724999999999996e-05,-7.0000000000000075e-06,3.4500000000000025e-05,-1.2285795000000022,-0.23087399999999825,1.1378789999999999,0.0,3.024999999999995e-05,7.174999999999998e-05
428.0,2.897196261682243,-3.7250000000000065e-05,-1.1500000000000008e-05,3.0750000000000016e-05,-1.2285795000000004,-0.37929300000000055,1.0141964999999988,0.0,2.5750000000000057e-05,6.800000000000008e-05
432.0,2.8703703703703702,-3.7250000000000065e-05,-1.1500000000000008e-05,2.7749999999999997e-05,-1.2285795000000022,-0.37929300000000055,0.9152504999999991,0.0,2.5750000000000057e-05,6.500000000000006e-05
436.0,2.8440366972477062,-3.400000000000001e-05,-9.999999999999972e-06,2.924999999999998e-05,-1.1213880000000014,-0.3298199999999998,0.9647234999999981,0.0,2.400000000000004e-05,6.324999999999999e-05
440.0,2.8181818181818183,-3.749999999999999e-05,-1.399999999999996e-05,2.3249999999999942e-05,-1.2368249999999978,-0.46174800000000005,0.7668314999999986,0.0,2.350000000000003e-05,6.074999999999993e-05
444.0,2.7927927927927927,-3.8500000000000014e-05,-2.1000000000000077e-05,1.9999999999999998e-05,-1.269807000000002,-0.6926220000000001,0.6596399999999996,0.0,1.7499999999999937e-05,5.850000000000001e-05
448.0,2.767857142857143,-3.200000000000002e-05,-2.0249999999999977e-05,1.624999999999999e-05,-1.0554240000000021,-0.6678855000000006,0.5359575000000003,0.0,1.1750000000000042e-05,4.825000000000001e-05
452.0,2.743362831858407,-3.550000000000005e-05,-2.1750000000000014e-05,1.1250000000000002e-05,-1.1708610000000004,-0.7173584999999996,0.3710475000000013,0.0,1.3750000000000036e-05,4.675000000000005e-05
456.0,2.719298245614035,-3.749999999999999e-05,-2.9499999999999985e-05,5.249999999999992e-06,-1.2368249999999996,-0.9729690000000009,0.17315550000000002,0.0,8.000000000000005e-06,4.274999999999998e-05
460.0,2.6956521739130435,-3.400000000000001e-05,-2.8991937500000002e-05,3.699042500000013e-06,-1.1213879999999996,-0.956212082625,0.1220018197349999,0.0,5.008062500000011e-06,3.7699042500000026e-05
464.0,2.6724137931034484,-3.675e-05,-2.8267802499999997e-05,-5.883092499999994e-06,-1.2120884999999983,-0.9323286620550002,-0.1940361568350002,0.0,8.482197500000001e-06,3.0866907500000005e-05
468.0,2.6495726495726495,-3.699999999999998e-05,-3.5109895500000005e-05,-3.946272500000001e-06,-1.2203339999999994,-1.157994573381,-0.13015595959500015,0.0,1.8901044999999726e-06,3.3053727499999977e-05
472.0,2.6271186440677967,-3.8e-05,-3.602913175e-05,-7.414279499999998e-06,-1.2533159999999999,-1.1883128233785,-0.24453776646899994,0.0,1.9708682500000033e-06,3.05857205e-05
476.0,2.6050420168067228,-3.849999999999999e-05,-3.5743027500000005e-05,-6.500545e-06,-1.2698069999999992,-1.1788765330050002,-0.21440097519000023,0.0,2.756972499999982e-06,3.199945499999999e-05
480.0,2.5833333333333335,-3.52152875e-05,-3.150000000000001e-05,-7.749999999999972e-06,-1.161470612325,-1.0389329999999997,-0.2556104999999995,0.0,3.7152874999999905e-06,2.7465287500000026e-05
